"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"06/1995",5206,38,,,16,14,,44,,,344,100,914,126,,262,8,,220,26,4,746,,,,246,82,,4,,6,,2,,,2,,,8,66,,104,26,260,,2,56,388,,4,6,,2,166,356,8,2,6,24,,,2,64,,336,2,22,62,26,4,3058,,,2,,,,,,,916,,126,,280,,,838,,282,,4,,,6,50,,134,,2,,,48,,2,22,6,2,72,6,,,,,22,,218,4,16,,586,,6,,,144,172,90,,2,4,,70,2,2,,94
"07/1995",5360,38,,,6,14,,34,,,332,130,878,106,,274,4,,240,22,,808,,,2,266,66,,2,,12,,2,,,4,,,16,84,,120,22,240,,4,54,402,,2,,,2,212,396,10,4,6,30,,,2,36,2,356,,22,72,24,2,3218,,,,,,,,,,948,,166,,318,,,968,,264,,2,,,4,42,,128,,,,,58,,2,12,6,2,62,4,,,,,10,,216,4,2,,618,2,10,,,130,210,102,2,,6,,66,2,2,,86
"08/1995",5728,30,,,10,6,,44,,,368,98,936,136,,236,,,248,26,,846,,,2,360,98,,12,,10,,8,,,2,,,14,88,,132,34,266,4,,80,456,,2,,,2,130,410,10,4,14,46,,,,68,6,374,2,28,66,16,,3376,,,2,,,,,,,988,6,140,,318,,,1076,,268,,,,,8,38,,108,,,,,64,,8,24,2,,46,6,,,,,12,,244,8,10,,648,,6,,2,132,186,100,,,6,,112,,6,,98
"09/1995",5498,18,,,18,18,,20,,,364,114,972,120,,286,4,,242,40,2,792,,,,284,78,,4,,6,,10,,,,,,6,84,,136,42,250,,,52,424,,2,,,,164,408,14,4,12,24,,,,56,4,312,,20,66,26,,3098,,,2,,,,,,,934,,124,,298,,,942,,212,,2,,,12,40,,150,,2,,,58,,2,16,6,,56,14,,,,,14,,200,4,10,,504,,6,,2,126,150,68,4,,4,,62,2,,,80
"10/1995",5672,40,2,,24,20,,30,,,322,134,1048,120,,256,2,,216,20,2,878,,,,296,88,,6,,6,,4,,,2,,,18,76,,100,34,276,,,54,424,,,4,,6,180,392,14,12,16,46,,,2,68,4,328,,20,72,10,,3412,,,2,,,,,,,1086,,144,,324,,,1022,,266,,8,,,10,50,,140,,2,,,62,,2,10,12,2,44,2,,,,,10,,198,6,10,,440,,6,,4,100,140,56,4,,2,,58,2,,,68
"11/1995",5360,52,,,8,12,,32,,,334,140,820,122,,274,4,,236,30,4,818,,,,318,78,,8,,,,6,,,2,,,20,94,,124,38,224,6,,44,452,,,,,2,146,344,4,,8,42,,,,56,,322,,36,76,24,,3056,,,,,,,,,,880,4,120,,282,2,,952,,260,,6,,,4,58,,120,,2,,,50,,4,20,12,,48,8,,,,,4,,210,6,4,,190,,,,,52,46,34,2,,,,28,2,6,,20
"12/1995",5450,36,,,6,18,,46,,,314,186,938,114,,294,2,,230,30,,754,,,,322,62,,4,,2,,2,,,2,,,18,94,,118,34,252,4,2,38,414,2,2,,,6,132,382,2,4,8,44,,,,50,8,334,,36,82,22,,3106,,,2,,,,,,,890,2,108,,298,,,1024,,238,,,,,,52,,138,,,,,46,,10,14,2,,56,2,,,,,4,,206,10,4,,150,,2,,,30,40,32,,,6,,18,,,,22
"01/1996",4452,26,,,4,6,,36,,,290,110,710,102,,222,2,,134,18,,738,,,,252,74,,6,,4,,2,,,,,,4,54,,120,22,180,2,,64,352,,,,,2,112,336,8,4,6,26,,,,58,2,254,,20,64,26,,2748,,,,,,,,,,826,2,114,2,258,,,856,,212,,2,,,8,42,,92,,4,,,66,,4,18,,,34,2,,,,,12,,178,8,8,,152,,4,,4,26,44,28,,,8,,22,2,,,14
"02/1996",4400,34,2,,8,8,,30,,,262,88,756,94,,274,,,190,14,,604,,,2,222,58,,12,,8,,,,,2,,,10,66,,104,22,216,,,60,354,,2,2,,2,136,332,4,2,2,38,,,2,42,,250,,18,46,22,,2542,,,,,,,,,,732,2,100,,276,,,800,,170,,2,,,8,44,,130,2,,,,42,,2,10,4,2,44,6,,,,,8,,148,4,6,,162,,6,,,42,44,24,,,,,24,,2,,20
"03/1996",4814,52,,,14,12,,24,,,276,106,804,92,,274,2,,192,14,,734,,,,244,92,,10,,8,,2,,,4,,,16,86,,88,26,210,,2,58,328,,,,,4,130,368,2,8,12,28,,,,68,4,306,,22,60,32,,2810,,,,,,,,,,842,2,116,,290,,,840,,192,,2,,,4,46,,126,,,,,30,,6,18,2,,56,14,,,,,22,,192,2,8,,212,,,,2,60,68,24,,,4,,26,2,,,26
"04/1996",4986,44,2,,14,22,,30,,,302,102,858,100,,280,,,184,14,,756,,,,272,66,,4,,12,,4,,,,,,6,70,,120,24,194,,2,64,408,,,2,,4,126,346,6,8,12,24,,,2,40,8,312,2,32,72,30,6,2690,,,,,,,,,,754,2,120,,258,4,,872,,220,,2,,,2,40,,124,,4,,,42,,4,28,,2,36,8,,,,,,,152,8,8,,370,,6,,,86,100,56,2,2,4,,60,,6,,48
"05/1996",4938,50,,,6,8,2,30,,,294,126,834,94,,234,4,,236,18,,744,,,,280,62,,4,,4,,2,,,2,,,16,80,,80,18,192,,,74,378,,,,,,134,398,4,2,4,30,,,,64,,302,2,28,74,20,4,2966,,,6,,,,,,,892,2,142,,304,,,892,,200,,2,,,10,54,,120,,,,,32,,10,18,2,,66,10,,,,,10,,180,8,6,,490,,4,,,134,142,56,,,2,,80,,,,72
"06/1996",5194,56,,,14,10,,44,,,340,112,868,94,,276,2,,194,22,,764,,,,268,54,,2,,6,,2,,,6,,,8,78,,116,32,224,4,,70,368,,,,,,152,394,4,6,14,34,,,4,82,2,338,,28,76,26,,3308,,,,,,,,,,930,4,150,2,352,,,982,,210,2,2,,,12,66,,164,2,4,,,46,2,8,26,2,2,68,8,,,,,16,,240,2,6,,674,,6,,2,168,172,128,2,,6,,100,2,4,,84
"07/1996",4998,36,2,,8,6,,38,,,316,122,858,114,,276,6,,186,16,,798,,,,260,86,,2,,8,,8,,,4,,,12,80,,108,12,178,2,,56,334,,2,,,,154,360,16,8,10,24,,,2,60,4,288,2,10,106,18,2,3092,,,2,,,,,,,916,,106,,308,,,930,,228,,4,,,10,48,,122,2,2,,,40,,4,24,8,2,86,6,,,,,8,,222,12,2,,514,,4,,,100,170,84,2,,2,,68,2,,,82
"08/1996",5374,48,4,,,8,,24,,,296,120,940,136,,264,6,,228,14,2,848,,,,292,78,,8,,10,,2,,,6,,,8,86,,112,28,256,2,,50,412,,,2,,,156,342,6,6,2,42,,,,72,2,318,,26,76,36,,3478,,,6,,,,,,,1000,2,134,,386,,,1050,,300,2,6,,,4,54,,188,,4,,,50,2,8,16,10,,60,,,,,,10,,178,8,,,628,,8,,2,172,168,86,,,8,,86,2,4,,92
"09/1996",5284,34,,,8,8,,28,,,306,146,940,106,,272,,,212,14,,796,,,,290,70,,4,,10,,4,,,4,,,8,90,,112,20,208,,2,64,384,,,2,,2,142,414,2,4,8,36,,,4,48,,360,,30,66,26,,2990,,,,,,,,,,908,4,102,,308,,,918,,180,,4,,,10,40,,156,,4,,,54,,6,14,2,4,42,6,,,,,6,,210,10,2,,494,,6,,,116,160,72,,,4,,72,,,,64
"10/1996",5732,58,2,,8,12,,38,,,330,130,1030,132,,270,2,,192,12,2,848,,,,350,78,,10,,,,2,,,8,,,12,82,,146,24,240,,,50,438,,,4,,2,164,424,8,8,16,36,,,,50,4,390,2,24,66,28,,3270,,,4,2,,,,,,922,4,156,2,342,,,998,,248,2,,,,14,56,,176,,,,,44,,12,10,10,,82,6,,,,,4,,168,6,2,,386,,10,,2,100,124,48,,,4,,56,,2,,40
"11/1996",5590,48,2,,6,16,,40,,,344,112,946,128,,290,2,,242,26,2,768,,,,348,76,,16,,8,,4,,,2,,,10,102,,122,30,230,2,,64,410,,2,,,,170,440,6,2,6,48,,,,60,6,320,,24,66,44,,3350,,,2,,,,,,,996,2,146,,340,,,1016,,270,,2,,,4,50,,136,2,,,,52,,6,22,8,2,54,4,,,,,12,,216,6,2,,144,,2,,,36,46,26,,,4,,12,,,,18
"12/1996",5732,40,,,10,14,,36,,,390,120,898,122,,246,2,,246,24,,890,,,,350,60,,10,,6,,4,,,2,,,8,104,,122,22,278,,,56,446,,2,2,,,138,454,,6,6,44,,,,60,2,366,,48,68,30,,3298,,,4,,,,,,,978,2,110,,324,,,978,,290,,,,,2,46,,150,,6,,,64,,12,14,6,2,78,6,,,,,6,,212,4,4,,118,,,,,36,34,20,,,6,,8,2,2,,10
"01/1997",4830,50,,,6,10,2,56,,,318,92,848,94,,234,,,206,18,,714,,,,250,50,,4,,6,,8,,,2,,,6,82,,112,10,208,6,,68,336,,,,,,122,376,2,4,4,60,,,2,58,4,276,,22,70,30,4,2822,,,,,,,,,,748,10,134,,244,2,,886,,198,,,,,6,34,,152,,2,,,72,2,4,16,14,2,46,10,,,,,10,,222,4,4,,104,,,,,26,26,20,,,4,,8,2,,,18
"02/1997",4186,32,2,,10,8,,20,,,266,82,714,86,,218,2,,178,20,,650,,,2,262,52,,18,,2,,8,,,,,,,66,,82,34,188,4,,72,284,,,,,6,82,234,6,4,6,42,,,2,54,2,294,,28,36,28,,2528,,,2,,,,,,,680,4,128,,242,,,820,,192,,8,,,2,42,,122,,4,,,44,,8,12,4,2,36,2,,,,,6,,160,6,2,,164,,6,,,46,50,20,,,2,,18,,,,22
"03/1997",4632,48,2,,4,12,,26,,,284,116,752,94,,242,4,,170,16,,688,,,,316,66,,10,,8,,2,,,,,,20,84,,110,20,178,2,,62,362,,,,,,122,300,2,4,4,32,,,2,58,,310,,20,62,18,,2804,,,,,,,,,,790,10,130,,320,2,,848,,224,,4,,,2,40,,130,,2,,,36,,4,14,6,,48,8,,,,,14,,166,2,4,,268,,8,,,74,64,44,,,4,,28,4,2,,40
"04/1997",4652,34,,,8,4,,32,,,280,140,804,92,,230,2,,212,30,,698,,,2,272,50,,10,,2,,8,,,8,,,14,86,,102,26,174,6,,66,314,,,,,2,150,336,2,,6,36,,,,38,4,294,,14,34,30,,2820,,,2,,,,,,,764,12,108,2,324,,,904,,186,,2,,,4,58,,130,,,,,54,,2,16,,2,50,4,,,,,6,,174,2,14,,326,,2,,4,92,74,54,,,10,,56,,,,34
"05/1997",5328,50,,,10,12,,32,,,318,146,870,98,,270,2,,222,16,4,868,,,,298,66,,8,,12,,18,,,8,,,14,72,,120,42,236,2,,70,346,,,,,2,150,372,6,2,4,56,,,2,56,8,342,,12,68,18,,3328,,,4,,,,,,,908,6,120,,338,,,1028,,246,,16,,,6,62,,174,6,4,,,56,,10,26,10,2,66,,,,,,8,,222,4,4,2,484,,2,,8,108,148,60,,,4,,86,2,4,,62
"06/1997",5036,50,,,6,4,,22,,,322,102,830,106,,252,,,190,18,2,776,,,,324,52,,10,,4,,2,,,10,,,8,96,,94,22,208,4,2,58,312,,4,,,,132,382,2,2,8,58,,,,70,4,344,,26,76,42,,3172,,,2,,,,,,,870,6,104,,350,,,986,,262,,6,,2,2,64,,144,,6,2,,58,,10,12,6,,44,12,,,,,16,,194,6,8,,604,,12,,,178,168,64,2,,4,,82,2,2,,90
"07/1997",5244,38,2,,14,8,,32,,,326,124,874,124,,282,2,,200,22,2,828,,,2,322,64,,4,,2,,2,,,12,,,10,78,,128,24,214,,,40,384,2,,2,,,146,328,14,2,4,40,,,2,82,2,316,2,24,80,34,,3362,,,2,,,,,,,972,8,108,,338,,,1050,,262,,10,,,4,82,,166,2,2,,,50,,2,8,4,4,74,6,,,,,20,,180,4,4,,582,,4,,2,154,194,64,,,8,,76,8,4,,68
"08/1997",5394,48,,,8,4,,34,,,346,120,966,102,,256,,,230,12,,798,,,,334,62,,10,,4,,12,,,4,,,10,96,,100,22,248,6,4,76,390,,2,,,,118,384,8,6,8,42,,,,70,2,320,6,46,58,18,4,3464,,,,,,,,,,960,2,94,,358,,,1156,,238,,6,,,,38,,182,,6,2,,50,,18,18,14,4,64,6,,,,,10,,216,18,4,,574,,4,,6,146,170,82,,,4,,76,8,,,78
"09/1997",4762,26,,,2,4,,24,,,272,88,792,130,,246,,,184,24,,728,,,2,298,66,,6,,2,,8,,,10,,,14,84,,106,26,212,,2,64,340,,4,,,,120,350,2,6,12,30,,,,48,6,284,2,30,76,30,2,3086,,,,,,,,,,964,2,140,2,276,2,,884,,236,,8,,,2,52,,154,4,14,,2,56,,10,20,2,2,44,4,,,,,8,,190,2,6,,464,,6,,4,140,118,60,,2,4,,66,2,8,,54
"10/1997",5388,42,,,10,,,42,,,304,118,962,106,,236,2,,226,12,2,846,,,,306,66,,10,,6,,8,,,2,,,10,92,,96,38,228,,2,70,404,,,4,,4,126,384,10,2,8,48,,,,84,2,330,2,36,58,42,2,3338,,,2,,,,,,,940,6,162,,314,2,,1006,,270,,6,,,2,48,,196,,4,2,,54,,10,18,6,,70,6,,,,,2,,202,6,4,,430,,6,,2,126,112,66,,,4,,66,,2,,46
"11/1997",5132,30,,,,14,,42,,,324,118,836,106,,238,4,,200,22,,796,,,,314,56,,6,,6,,10,,,6,,,20,98,,102,34,226,2,,64,350,,,,,,118,402,4,,2,58,,,2,68,10,316,,30,62,36,,3236,,,,,,,,,,944,6,132,,290,,,1042,,232,,6,,,4,40,,148,2,,2,,40,,14,22,8,,70,8,,,,,10,,208,6,2,,182,,,2,,48,40,22,,,4,,30,4,4,,28
"12/1997",5544,38,,,6,18,,36,,,358,162,930,112,,256,4,,212,20,,904,,,,296,64,,4,,10,,4,,,2,,,26,84,,114,36,236,,2,88,398,,2,2,,2,136,428,2,2,6,52,,,,80,,296,,24,74,18,,3308,,,2,,,,,,,880,2,172,,332,,,1028,,204,,10,,,8,68,,194,4,6,2,,56,,8,12,12,2,56,4,,,,,12,,228,6,,,126,,,,,24,28,22,,,6,,24,2,,,20
"01/1998",4514,46,,,2,4,,42,,,288,114,754,82,,248,2,,178,20,2,652,,,,260,56,,12,,4,,,,,6,,,6,90,,110,22,230,4,,68,278,,2,,,,124,330,4,14,6,44,,,,38,2,280,,16,46,28,,2882,,,,,,,,,,770,10,146,,344,,,900,,210,,,,,2,56,,130,,6,,,48,,8,10,4,,38,4,,,,,8,,174,6,8,,124,,2,,,36,18,12,,,4,,26,4,,,22
"02/1998",4194,44,,,4,16,,30,,,256,98,664,82,,196,4,,190,24,,638,,,,248,60,,6,,6,,2,,,8,,,6,88,,86,26,206,2,,52,298,,,,,2,96,276,6,,4,34,,,,48,2,290,,16,56,20,4,2582,,,,,,,,,,692,8,120,,246,,,822,,186,,6,,4,6,38,,122,6,2,,2,56,2,8,8,2,,38,12,,,,2,14,,168,10,2,,146,,2,,,42,54,16,,,6,,8,,,,18
"03/1998",4478,46,,,4,8,,26,,,246,136,716,76,,234,4,,178,16,,680,,,,244,50,,6,,4,,4,,,8,,,14,88,,84,30,214,,,74,318,,2,,,2,110,390,6,4,12,42,,,2,32,2,254,,18,58,34,2,2868,,,,,,,,,,774,14,100,,340,,,904,,226,,4,,,6,54,,136,4,8,,2,40,,6,16,,2,58,8,,,,,8,,152,2,4,,216,,10,,,48,68,32,,,2,,28,,,,28
"04/1998",4446,54,,,4,2,,36,,,250,106,688,74,,228,,,164,22,,706,,,,286,50,,4,,4,,16,,,2,,,12,80,,114,26,234,2,,50,304,,,,,,98,296,4,,6,48,,,,68,,292,,26,54,36,,2820,,,2,,,,,,,832,,128,,314,,,874,,186,,8,,2,,30,,120,6,2,,2,30,,16,16,6,,58,8,,,,,12,,158,4,6,,354,,2,,4,102,96,60,,,6,,40,2,2,,40
"05/1998",4798,42,2,,2,10,,34,,,312,112,792,134,,234,2,,188,14,,768,,,,286,68,,12,,4,,10,,,2,,,12,68,,98,28,188,,2,70,306,,,2,,2,116,362,,2,6,32,,,,48,,300,,24,76,24,4,3208,,,2,,,,,,,880,4,114,,320,,,970,,222,,8,,,4,44,,196,4,10,,2,62,2,8,12,12,,60,8,,,,2,18,,222,12,10,,558,,8,,,156,152,82,4,,12,,78,4,,,62
"06/1998",4680,32,,,2,12,,20,,,316,112,778,110,,236,,,172,16,,712,,,2,280,58,,10,,4,,2,,,4,,,22,70,,94,32,210,2,2,68,342,,2,,,,116,368,4,4,18,60,,,,52,6,250,,12,48,20,,3286,,,2,,,,,,,846,10,148,,334,,,1070,,224,,6,,,2,44,,188,,10,4,,48,,14,24,6,2,70,6,,,,,14,,204,6,4,,508,,4,,,130,142,90,,,10,,68,,10,,54
"07/1998",5144,38,,,6,10,,44,,,304,136,824,132,,250,,,232,16,,796,,,2,318,84,,8,,4,,,,,14,,,8,116,,104,34,196,4,,70,328,,,,,,146,362,4,,6,54,,,,78,8,312,,18,54,24,,3468,,,2,,,,,,,942,8,132,,366,,,1122,,250,,8,,,4,70,,174,,2,,2,50,2,14,16,8,2,60,14,,,,2,12,,204,,2,,714,,8,,,166,202,120,,2,6,,126,6,4,,74
"08/1998",5358,42,2,,2,12,,30,,,316,128,910,108,,264,,,186,18,,818,,,4,344,56,,10,,8,,2,,,10,,,16,104,,102,36,262,,,58,372,,2,,,,110,416,6,6,16,54,,,,62,4,328,,24,84,26,,3792,,,,,,,,,,1026,4,136,,378,,,1186,,308,,10,,2,10,60,,166,2,4,,2,58,2,12,16,12,2,64,18,,,,,22,,278,6,8,,668,,12,,2,204,142,114,2,,4,,96,6,4,,82
"09/1998",4848,36,,,4,4,,36,,,286,116,828,88,,232,,,216,20,,738,,,6,342,52,,4,,8,,4,,,4,,,20,90,,86,28,198,10,,76,300,,,,,4,136,366,6,4,6,44,,,2,58,6,264,,16,66,38,,3280,,,,,,,,,,912,8,144,,358,,,1032,,242,,10,,,8,46,,144,,8,2,2,44,,16,24,8,,58,2,,,,,14,,184,8,6,,538,,2,,,144,164,66,2,,12,,62,4,6,,76
"10/1998",5192,56,4,,,6,,42,,,284,100,818,136,,262,2,,200,18,,838,,,,330,64,,14,,4,,10,,,6,,,10,102,,130,46,230,2,,82,360,,,2,,,130,396,10,2,4,54,,,,44,6,282,,20,60,26,,3382,,,,,,,,,,956,10,134,,406,,,1006,,236,,16,,,6,58,,140,2,6,4,6,54,,8,18,16,4,72,14,,,,,10,,190,8,2,,430,,6,,4,128,110,72,2,,10,,48,,2,,48
"11/1998",5046,48,,,4,10,,40,,,290,130,720,120,,234,4,,206,22,,754,,,,366,70,,12,,2,,,,,8,,,6,84,,132,38,230,,,68,356,,4,2,,,126,378,2,6,6,42,,,,56,4,344,,22,62,38,,3408,,,,,,,,,,982,2,120,,370,,,976,,264,,8,,,2,40,,192,4,6,2,4,46,2,10,18,26,,80,10,,,,6,6,,222,6,4,,242,,2,2,,78,58,34,,,16,,30,,2,,20
"12/1998",5402,58,,,4,10,,34,,,354,120,946,100,,238,4,,202,32,,836,,,,306,76,,20,,8,,6,,,8,,,8,100,,146,34,226,,,70,328,,2,2,,,122,396,10,6,10,74,,,,44,,314,,18,94,34,2,3824,,,2,,,,,,,1054,10,146,,460,,,1216,,266,,14,,,,48,,206,,4,,4,40,,16,20,26,,60,18,,,,2,18,,184,4,6,,162,,6,,,48,40,12,,,,,24,2,,,30
"01/1999",4024,46,,,4,8,,30,,,250,82,644,56,,182,2,,164,14,,610,,,2,284,56,,6,,2,,2,,,12,,,22,84,,100,18,170,,,54,280,,2,2,,2,80,276,2,,8,64,,,2,48,2,256,,18,60,18,,2838,,,,,,,,,,794,,106,,366,,,854,,192,,16,,,,50,,150,4,6,2,2,54,2,8,10,2,,46,4,,,,,6,,156,6,2,,114,,,2,2,32,34,8,,,4,,12,,,,20
"02/1999",3828,30,,,2,8,,34,,,206,90,596,76,,186,2,,148,10,,594,,,,254,44,,10,,2,,2,,,14,,,24,84,,74,32,196,,,54,236,,,,,,72,308,,,6,44,,,,52,,256,,12,52,18,,2592,,,2,,,,,,,678,6,76,,300,,,824,,180,,16,,,2,26,,144,,6,,2,54,,14,12,2,,62,8,,,,2,2,,170,,4,,180,,4,,,50,34,32,,,6,,22,2,,,30
"03/1999",4464,42,,,4,8,,26,,,266,88,808,70,,218,,,170,4,,666,,,,276,36,,10,,6,,6,,,10,,,16,74,,108,10,196,,,56,300,,,,,,110,382,4,,8,52,,,,32,2,336,,2,44,18,,3040,,,,,,,,,,860,6,114,,332,,,908,,208,,8,,,2,46,,160,,6,2,2,48,,18,28,8,,70,12,,,,,14,,180,2,6,,278,,,,,76,72,32,2,,8,,50,,,,38
"04/1999",4252,42,2,,4,4,,28,,,240,100,700,90,,216,2,,194,12,,628,,,2,244,54,,4,,,,10,,,8,,,26,70,,72,14,208,,,72,300,,,2,,,106,294,6,,6,44,,,2,60,2,288,,12,58,22,4,2956,,,,,,,,,,748,6,98,,346,,,942,,234,,12,,,4,46,,158,4,,2,2,48,2,10,12,18,,48,16,,,,,18,,166,6,10,,428,,10,2,6,128,118,36,,,8,,52,2,2,,64
"05/1999",4928,52,,,6,10,,32,,,322,102,776,62,2,234,2,,216,22,2,736,,,,318,70,,10,,4,,10,,,4,,,22,82,,106,20,176,,,80,360,,2,2,,2,120,410,2,2,10,78,,,,54,2,288,,24,72,22,,3396,,,,,,,,,,944,2,144,,406,,,1040,,274,,16,,,4,46,,138,6,4,2,2,36,2,12,10,12,,74,12,,,,2,12,,194,,2,,562,,2,,4,168,146,78,,,8,,90,2,,,64
"06/1999",4652,48,,,6,2,,24,,,290,104,780,98,,250,2,,192,18,,722,,,2,266,52,,14,,2,,6,,,18,,,12,96,,118,28,218,,2,76,272,2,2,,,2,84,338,2,2,6,62,,,,54,2,268,2,18,64,26,,3304,,,4,,,,,,2,902,10,102,2,424,,,1012,,252,,18,,4,4,38,,162,,2,4,2,44,6,14,16,12,,54,18,,,,,16,,174,2,4,,626,,8,,4,158,152,136,4,,14,,88,,10,,52
"07/1999",4766,32,,,6,14,,44,,,278,118,748,102,,202,,,194,26,,768,,,,290,68,,6,,2,,6,,,8,,,24,106,,110,18,210,2,4,62,342,4,,,,,92,372,6,,6,60,,,4,46,6,284,,16,64,16,,3642,,,,,,,,,2,946,12,132,,424,,,1144,,296,,14,,,2,68,,210,4,6,2,6,42,,14,16,14,2,64,4,,,,4,12,,196,6,,,706,,4,,4,188,180,98,,,24,,96,2,6,,104
"08/1999",4992,44,,,6,12,,44,,,268,104,830,94,2,204,,,172,18,,754,,,,338,62,,16,,4,,10,,,14,,,18,106,,140,22,194,,4,70,368,,,,,,132,414,10,,2,76,,,,50,2,300,,18,48,22,,3826,,,,,,,,,2,980,10,140,,446,,,1272,,294,,16,,,4,56,,194,2,8,4,2,38,,18,14,12,,74,12,,,,,10,,196,12,10,,700,,8,,2,196,176,110,,,10,,88,2,,,108
"09/1999",4728,56,,,4,2,,42,,,292,146,704,132,,230,6,,218,16,,716,,,,298,72,,4,,4,,2,,,8,,,12,84,,88,20,238,2,2,68,276,,2,,,,104,346,4,,8,62,,,,30,,342,,14,54,20,,3604,,,,,,,,,2,974,8,138,,406,,,1140,,270,,26,,,4,64,,196,8,4,2,2,42,2,8,20,12,2,54,10,,,,,6,,194,8,2,,582,,4,,6,192,144,68,,,8,,66,6,,,88
"10/1999",5126,48,,,6,10,,50,,,326,112,816,102,,256,2,,204,20,,860,,,,356,62,,12,,,,8,,,20,,,24,90,,90,28,228,,,54,284,2,,,,,120,372,10,,10,58,,,4,38,4,328,,14,74,24,,3748,,,,,,,,,,1074,8,102,2,442,,,1192,,266,,18,,4,4,48,,158,8,4,8,4,60,,18,10,22,2,64,,,,,,8,,216,4,2,,468,,10,,,160,120,52,,,12,,64,2,2,,46
"11/1999",5052,50,,,2,10,,44,,,278,120,848,120,4,264,,,194,16,,758,,,2,364,68,,16,,12,,12,,,6,,,10,86,,106,32,244,2,,68,320,,2,,,,104,380,8,4,,60,,,,36,4,302,,8,60,28,,3506,,,4,,,,,,2,948,8,120,,430,,,1082,,272,,12,,,8,44,,166,6,2,2,4,36,,16,18,4,2,74,6,,,,,14,,220,2,4,,270,,2,,2,82,70,28,,,6,,34,2,8,,36
"12/1999",5236,66,,,6,6,,50,,,290,84,858,92,,272,2,,252,14,2,866,,,,386,66,,14,,6,,4,,,16,,,26,80,,94,24,204,,,92,306,,,2,,,132,376,8,,4,68,,,,52,,298,,18,64,36,,3572,,,2,,,,,,,910,10,138,,454,,,1124,,252,2,28,,2,4,34,,202,8,4,10,,28,2,22,16,8,,70,10,,,,4,4,,222,,2,,136,,2,,,44,34,12,,,6,,22,,,,16
"01/2000",2129,35,,,,5,,18,,,132,44,342,40,,90,,,91,8,,312,,,,135,19,,4,,,,3,,,11,,,14,32,,52,17,80,,,34,150,,,2,,,50,155,3,,3,30,,,,26,,137,,4,39,10,2,1691,,,,,,,,,,444,5,77,,179,,,518,,117,1,9,,,1,24,,103,4,5,1,2,28,2,10,7,4,1,34,3,,,,4,8,,94,5,1,,80,,1,,,23,21,12,1,,2,,12,,,,8
"02/2000",1930,22,1,,2,2,,16,,,121,34,294,50,,96,,,81,6,1,319,,,,147,25,,7,,1,,1,,,2,,,4,39,,40,10,81,,,39,116,,,,,,33,143,1,,2,27,,,1,18,3,108,,3,23,11,,1417,,,,,,,,,,382,5,56,,145,,,460,,95,,4,,,1,20,,65,3,3,4,2,24,,4,8,3,,25,2,,,,1,8,,94,3,,,90,,,,,22,28,12,,,3,,10,1,,,14
"03/2000",2119,23,,,2,3,,11,,,122,49,345,47,,105,,,79,4,1,316,,,,145,27,,6,,1,,2,,,6,,,9,42,,64,13,76,,,34,143,,,,,,48,156,2,2,10,33,,,,18,5,136,,4,24,6,,1545,1,,1,,,,,,,394,6,62,,178,,,481,,114,,9,,2,1,22,,91,3,5,1,3,18,,7,10,9,,30,7,,,,,7,,76,2,5,,199,,3,,1,74,38,22,1,,3,,30,1,,,26
"04/2000",2332,21,,,4,7,,20,,,137,35,357,46,,109,2,,113,3,,354,,,1,185,25,,5,,2,,1,,,9,,,10,51,,50,18,97,,,44,137,,1,,,,45,169,,,3,39,,,,29,5,156,,5,25,12,,1592,,,,,,,,,1,439,2,40,,174,,,545,,124,,5,,1,,20,,68,,1,3,3,28,,9,10,6,,22,5,,,,3,5,,77,1,,,248,,4,,1,84,62,28,,,4,,33,1,,,31
"05/2000",2295,32,,,1,6,,17,,,141,60,321,41,,82,,,103,8,,321,,,1,173,27,,3,,2,,2,,,11,,,6,40,,52,20,107,,,50,161,,,1,,1,51,167,3,,2,35,,,,24,5,152,,9,41,15,1,1734,,,,,,,,,1,460,6,53,,206,,,544,,128,,6,,,1,18,,115,5,2,2,2,24,1,5,12,4,,33,8,,,,1,4,,87,2,4,,329,,2,,1,102,73,52,1,,5,,46,1,2,,44
"06/2000",2319,40,,,2,5,,22,,,145,47,359,62,,110,,,85,7,,328,,,,164,35,,7,,1,,3,,,10,,,13,36,,55,19,89,,,38,143,1,,1,,1,47,187,1,,1,37,,,3,12,2,149,,8,32,12,,1720,,,1,,,,,,,438,6,65,,204,,,545,,111,,8,,,,30,,101,2,2,7,2,26,,8,17,5,,29,4,,,,1,5,,101,2,,,400,,3,,2,107,103,54,,,10,,60,6,4,,51
